"user_id","product_id","review_id","rating","review_text","sentiment_id"
,B09688VRYZ,R1157IMOKD7286,2.0,Second charger bought in just a few months and after 6 weeks the silver part that plugs into the laptop snapped off. The first one stopped working after 8 or 9 weeks when the wires came apart from the charger. You get what you pay for I guess.,
,B010A7TZ76,R115OVRDWP5PN4,1.0,"Don’t waste your money on this printer, it won’t even connect to WiFi. Bought this as a replacement for the first one that died. Canon used to be top of the line, but they’ve gone backwards so far that we actually thinking about switching back to HP.",
,B09NM28SB4,R116O1FGDBDVVJ,2.0,Didn't have the charging piece we needed.,
,B08Z1LTDDY,R116Q8OAMA5PU1,5.0,"Love the card, just right for my mom",
,B0C8VXLW37,R117EB1WK7M6H6,5.0,"I am so glad I discovered this size. It is perfect for a latte, and very lightweight. I often hate carrying tumblers because they are heavy. This is perfect.",
,B0CN8TJ5V2,R117MGA97N7ZET,5.0,My friend loved this card. She's a hummingbird collector. Other themes available.,
,B086WNKLTM,R1184M9YXP5WIP,5.0,"We are in the shipping business and were looking for something sturdy, waterproof and with enough capacity to hold quite a few smaller packages to make hauling them to the post office easier. These bags are great! Roomier then expected, sturdier then expected. I absolutely love them.",
,B09GHV6G55,R118EGJC5VS512,5.0,"This works for my Dell laptop and also my MacBook, as they both take the same charger. Highly recommend",
,B00JH98GR4,R118OSTG25GDDB,4.0,"This vacuum sucks up everything; I was quite surprised at it pulled out of my carpets, that I thought were clean. It is a little small for a whole house and the dirt catcher has to be emptied regularly.",
,B001CE8JPQ,R119YYG1AVBRYM,5.0,I don't know how to sew and this product has helped me be able to easily and quickly hem several pair of pants and curtains - projects I'd previously been putting off because of expense and lack of time to find a seamstress. Love it and highly recommend for every household!,
,B09688VRYZ,R11AG5CQKP5E3M,1.0,Charger stopped working within 4 months,
,B07Q32S3B2,R11BPHCEQQ50GZ,5.0,They keep their color for a long time this is my second set,
,B09JNRXJD6,R11CCZ7EKQDS60,5.0,"This cup is stunning! When the cup first arrived, the spoon was missing. I contacted Amazon regarding the missing spoon and I received a replacement one with the spoon the next day! So very glad I didn’t have to order a new one and wait because it was a Mother’s Day gift for my daughter in law.",
,B01MRHXM0I,R11CDB5XIUZGB8,4.0,I like that it works very well catching bugs. I don’t like the sour smell. If you have pets place the container where they can’t knock it over because then dead bugs and stinky liquid spills out.,
,B00O0M46KO,R11EGNXQS2ESHE,3.0,"First of all, I thought it was all-in-one (it should be for the price) but the power cable has to be plugged separately. Also, I have no USB ports on my computer, only USB C, so back it goes.",
,B0030MIHAU,R11EM320P9HBX7,5.0,This item works as it is supposed to. It will easily pluck out dandelions. I do tend to think that they sprout up faster than I can remove them though. A lot of other type of weeds can be removed just as easily. The only thing I have found difficult is grass runners getting started in the mulch beds.,
,B00MRH9NCK,R11EZF49EQHLC8,1.0,Nit sure what are those dirt on the protwctor but it is too difficult to remove them.,
,B0B1CNJL7N,R11FSA1JJB41KY,5.0,Nice frames. Good value.,
,B00006IFI3,R11GBY4P03P8MS,5.0,Sharpies are the best,
,B06ZY9LP74,R11H5JQW6O68OZ,5.0,It's all good,
,B0C59BYVTQ,R11HAYWO1UYQVC,5.0,"Love this bottle! You definitely get your monies worth, it’s great quality and cute color schemes to choose from!",
,B0CT2R7199,R11HSHAM19H3K5,2.0,"I can not print in color from my Macbook Pro. I have tried everything, including going to the HP website and trying to find a solution. When the print window comes up, there is no print in color option. Any suggestion would be appreciated.",
,B0B24QJ217,R11HXN32BYF0B2,1.0,"Debi confiar en los comentarios anteriores que decían que este producto no es bueno,hoy sólo puedo decir que tire mi dinero a la basura,quite incluso las pequeñas flores para ver si se impregnaba más el aroma a los palitos,fracaso total , Garbage es esto !!!",
,B00WR23X5I,R11IOLDY0BWMO5,5.0,"Printed out my second book, one more to go. I bought two of them. A bit pricey for #63 some other little less. Over all it is needed. Yes, it's easy to install. Dryes quickly and print Quality is a plus. Sending my 3 book copies to library of Congress for copyright. Love it.",
,B0BHC14143,R11JVI6I2XSVGA,5.0,These tumblers are amazing! They leak way less than a Stanley and half the price. I own quite a few of these and a few Stanleys and I highly recommend this tumbler over a Stanley hands down,
